F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
512.0,533.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
512.0,513.0,0.055779999999999996,0.02922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
513.0,516.0,0.057210000000000004,0.02997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
513.0,534.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
514.0,524.0,0.49261000000000005,0.45743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
514.0,535.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
515.0,514.0,0.04557,0.04231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
515.0,536.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
516.0,537.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
516.0,6549.0,0.02695,0.01411,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
517.0,6545.0,0.0018899999999999998,0.00099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
517.0,538.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
518.0,6544.0,0.0457,0.02394,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
518.0,539.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
519.0,540.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
519.0,518.0,0.0491,0.02572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
520.0,541.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
520.0,6552.0,0.00703,0.0036799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
521.0,542.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
521.0,527.0,0.03381,0.01771,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
522.0,543.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
522.0,524.0,0.0428,0.02242,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
523.0,544.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
523.0,522.0,0.03497,0.01832,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
524.0,45.0,0.35007,0.70013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
524.0,545.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
525.0,546.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
525.0,6551.0,0.00235,0.00123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
526.0,6548.0,0.04743,0.02485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
526.0,547.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
527.0,6547.0,0.0027300000000000002,0.00143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
527.0,548.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
528.0,549.0,2.19,9.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
528.0,6548.0,0.00718,0.0037600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
529.0,528.0,0.030560000000000004,0.01601,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
529.0,550.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
530.0,6554.0,0.03487,0.018269999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
530.0,551.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
531.0,552.0,1.22,5.157,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
531.0,6554.0,0.0194,0.010159999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
532.0,515.0,0.34757,0.32274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
532.0,553.0,2.39,10.76,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
6104.0,6440.0,5.687499999999999,0.8749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6105.0,551.0,0.0062499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6106.0,6510.0,13.174999999999999,2.6999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6107.0,538.0,0.0062499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6108.0,6104.0,7.662499999999999,1.1812499999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6109.0,6248.0,1.8749999999999998,0.9374999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6110.0,6130.0,5.281249999999998,0.8124999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6111.0,6425.0,4.081249999999999,0.6312499999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6112.0,6534.0,6.906249999999999,1.0624999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6113.0,533.0,57.72499999999999,8.881249999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6114.0,6360.0,25.843749999999993,3.974999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6115.0,533.0,25.856249999999992,3.9812499999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6116.0,6505.0,8.143749999999999,1.2499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6117.0,6120.0,10.406249999999998,1.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6118.0,6199.0,2.9249999999999994,0.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6119.0,6292.0,5.768749999999999,0.8874999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6120.0,539.0,0.0062499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6121.0,542.0,6.499999999999998,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6122.0,6461.0,8.287499999999998,1.2749999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6123.0,540.0,24.356249999999996,12.174999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6124.0,547.0,45.43124999999999,22.718749999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6125.0,6280.0,4.2437499999999995,0.6499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6126.0,533.0,0.0062499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6127.0,6218.0,4.062499999999999,0.6249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6128.0,6205.0,4.193749999999999,0.8624999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6129.0,6450.0,5.281249999999998,0.8124999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6130.0,6448.0,3.249999999999999,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6131.0,6299.0,4.143749999999999,0.6374999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6132.0,6494.0,7.312499999999999,1.1249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6133.0,537.0,3.7687499999999994,1.8874999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6134.0,6482.0,15.399999999999999,2.3687499999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6135.0,6347.0,6.518749999999999,1.0062499999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6136.0,6266.0,3.249999999999999,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6137.0,545.0,15.956249999999997,3.2749999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6138.0,547.0,0.0062499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6139.0,6251.0,1.1249999999999998,0.5624999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6140.0,6138.0,1.1249999999999998,0.5624999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6141.0,6438.0,8.937499999999998,1.3749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6142.0,6113.0,13.018749999999999,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6143.0,541.0,0.0062499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6144.0,6375.0,4.143749999999999,0.6374999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6145.0,6321.0,12.031249999999998,1.8499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6146.0,6343.0,16.256249999999998,2.4999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6147.0,6347.0,14.993749999999999,2.3062499999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6148.0,6123.0,1.3749999999999998,0.6874999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6149.0,6164.0,5.299999999999999,0.8124999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6150.0,6221.0,4.631249999999999,0.9499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6151.0,546.0,0.0062499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6152.0,6153.0,6.093749999999999,0.9374999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6153.0,6335.0,1.9499999999999995,0.9749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6154.0,533.0,5.281249999999998,0.8124999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6155.0,6157.0,3.6562499999999996,0.5624999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6156.0,6135.0,4.468749999999999,0.6874999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6157.0,6514.0,42.899999999999984,6.599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6158.0,6437.0,4.081249999999999,0.6312499999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6159.0,549.0,6.143749999999999,1.2624999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6160.0,548.0,22.168749999999996,3.4124999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6161.0,6169.0,4.574999999999999,0.9374999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6162.0,6391.0,9.849999999999998,2.0187499999999994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6163.0,6439.0,2.8437499999999996,0.4374999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6164.0,539.0,22.343749999999993,3.437499999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6165.0,6489.0,6.581249999999998,1.3499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6166.0,6406.0,13.093749999999998,2.0124999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6167.0,553.0,26.968749999999996,4.1499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6168.0,6157.0,9.362499999999999,1.4437499999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6169.0,6245.0,2.4499999999999993,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6170.0,549.0,0.0062499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6171.0,6281.0,8.299999999999999,1.6999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6172.0,6216.0,4.737499999999999,0.7312499999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6173.0,542.0,5.512499999999998,2.756249999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6174.0,6504.0,4.468749999999999,0.6874999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6175.0,6320.0,4.374999999999999,0.6749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6176.0,6147.0,14.706249999999999,2.2624999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6177.0,6389.0,3.9499999999999993,1.9749999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6178.0,6236.0,8.549999999999999,1.3187499999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6179.0,6394.0,4.062499999999999,0.6249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6180.0,6136.0,23.731249999999992,3.649999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6181.0,6201.0,7.718749999999998,1.1874999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6182.0,6187.0,9.343749999999998,1.4374999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6183.0,6242.0,1.2499999999999998,0.6249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6184.0,6301.0,4.062499999999999,0.6249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6185.0,6532.0,4.543749999999999,0.6999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6186.0,6249.0,8.937499999999998,1.3749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6187.0,542.0,22.387499999999996,11.193749999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6188.0,6337.0,6.812499999999999,1.0499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6189.0,6507.0,35.78124999999999,5.506249999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6190.0,6197.0,17.062499999999996,2.6249999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6191.0,6503.0,7.1187499999999995,1.4624999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6192.0,6340.0,12.999999999999996,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6193.0,6198.0,9.362499999999999,1.4437499999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6194.0,6209.0,11.043749999999998,1.6999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6195.0,6378.0,5.8687499999999995,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6196.0,6420.0,5.281249999999998,0.8124999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6197.0,6148.0,2.1249999999999996,1.0624999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6198.0,541.0,30.212499999999995,4.6499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6199.0,6427.0,5.818749999999998,1.1937499999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6200.0,552.0,0.0062499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6201.0,6177.0,1.1249999999999998,0.5624999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6202.0,6509.0,3.424999999999999,0.6999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6203.0,6249.0,22.849999999999998,3.5124999999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6204.0,6312.0,9.118749999999999,1.3999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6205.0,6451.0,7.418749999999999,1.5249999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6206.0,6453.0,3.899999999999999,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6207.0,6143.0,2.50625,1.2499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6208.0,6222.0,2.8437499999999996,0.4374999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6209.0,6131.0,4.081249999999999,0.6312499999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6210.0,6261.0,2.6249999999999996,1.3124999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6211.0,546.0,16.143749999999997,8.068749999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
6212.0,6325.0,6.499999999999998,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
